,Action_x,All items_x,Food_x,Food at home_x,Food away from home_x,Energy_x,Electricity_x,Gasoline (all types)_x,All items less food and energy_x,Furniture and bedding_x,Apparel_x,Used cars and trucks_x,Medical care_x,Sporting goods_x,Public transportation_x,Average weekly earnings of all employees_x,12-month percent change in average weekly earnings of all employees_x,"Real average weekly earnings of all employees, 1982-1984 dollars_x",12-month percent change in real average weekly earnings of all employees_x
Action_y,1.0,0.0357,0.3708,0.1763,0.0684,0.4216,0.028,0.3153,0.0,0.0525,0.0052,0.0,0.5564,0.0,0.0929,0.184,0.0012,0.2946,0.4443
All items_y,0.5079,1.0,0.087,0.0266,0.0446,0.4233,0.0007,0.2001,0.1869,0.0058,0.0499,0.0346,0.005,0.046,0.0,0.0,0.0,0.0,0.0
Food_y,0.2227,0.0003,1.0,0.0105,0.0009,0.0001,0.0737,0.0001,0.0413,0.0,0.0005,0.0,0.0,0.0029,0.1525,0.0006,0.0006,0.0,0.0009
Food at home_y,0.515,0.0,0.0431,1.0,0.0604,0.0001,0.0242,0.0001,0.0042,0.0,0.0057,0.0,0.0105,0.0015,0.2454,0.0037,0.0032,0.0001,0.0046
Food away from home_y,0.1483,0.0008,0.0005,0.0005,1.0,0.0018,0.6341,0.0118,0.0,0.0,0.0001,0.001,0.0001,0.0759,0.1173,0.0196,0.0095,0.0011,0.0
Energy_y,0.5648,0.4543,0.0127,0.0027,0.2464,1.0,0.0036,0.0,0.0123,0.0562,0.0046,0.0052,0.0,0.0077,0.0,0.0,0.0034,0.0,0.0001
Electricity_y,0.0003,0.0134,0.0,0.0,0.0097,0.0012,1.0,0.0015,0.0888,0.0042,0.0,0.0024,0.0,0.0007,0.0454,0.0001,0.0044,0.3297,0.0
Gasoline (all types)_y,0.5748,0.1353,0.0062,0.0018,0.1976,0.0,0.0031,1.0,0.0088,0.0817,0.0067,0.0297,0.0,0.0047,0.0,0.0,0.0096,0.0,0.0048
All items less food and energy_y,0.0045,0.0,0.0002,0.0002,0.0,0.0,0.0838,0.0,1.0,0.0,0.0016,0.0,0.0,0.0003,0.3515,0.0,0.0001,0.0012,0.0
Furniture and bedding_y,0.125,0.0,0.0,0.0,0.0008,0.0023,0.0011,0.0061,0.0001,1.0,0.0,0.0479,0.0275,0.0,0.0002,0.0,0.0,0.0001,0.0026
Apparel_y,0.4645,0.001,0.0029,0.0045,0.0,0.0071,0.0007,0.0157,0.0065,0.0,1.0,0.0007,0.0001,0.0004,0.0014,0.0294,0.0015,0.0084,0.0756
Used cars and trucks_y,0.0035,0.0185,0.0019,0.0013,0.0908,0.0029,0.0006,0.0069,0.0046,0.0001,0.0025,1.0,0.0,0.0013,0.0065,0.0004,0.0001,0.0,0.0076
Medical care_y,0.0067,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0143,1.0,0.0962,0.0624,0.002,0.0,0.1195,0.0203
Sporting goods_y,0.3763,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3101,0.0001,0.0,0.0001,0.0017
Public transportation_y,0.0168,0.0767,0.5952,0.3853,0.0,0.1248,0.0269,0.0433,0.0031,0.0012,0.1184,0.1456,0.0488,0.009,1.0,0.0004,0.0945,0.0006,0.2255
Average weekly earnings of all employees_y,0.0789,0.0343,0.0,0.0195,0.0,0.0016,0.0007,0.0032,0.0463,0.0,0.002,0.0014,0.0311,0.0032,0.0264,1.0,0.0406,0.0,0.0004
12-month percent change in average weekly earnings of all employees_y,0.4202,0.0,0.0096,0.1819,0.0,0.0,0.0,0.0,0.0224,0.0,0.0,0.0001,0.0071,0.0,0.0,0.0,1.0,0.0002,0.0
"Real average weekly earnings of all employees, 1982-1984 dollars_y",0.3416,0.0005,0.0,0.0,0.2608,0.0,0.0001,0.0,0.0417,0.0,0.0141,0.0,0.0,0.0101,0.0,0.0,0.0,1.0,0.0009
12-month percent change in real average weekly earnings of all employees_y,0.6388,0.0,0.0319,0.0133,0.2105,0.0,0.0005,0.0,0.0002,0.0,0.0476,0.0003,0.0,0.0063,0.0,0.0,0.0,0.0,1.0
